agency_cd,site_no,datetime,discharge-cuft
USGS,9058000,4/4/13,390
USGS,9058000,4/5/13,422
USGS,9058000,4/6/13,434
USGS,9058000,4/7/13,422
USGS,9058000,4/8/13,407
USGS,9058000,4/9/13,366
USGS,9058000,4/10/13,343
USGS,9058000,4/11/13,320
USGS,9058000,4/12/13,311
USGS,9058000,4/13/13,292
USGS,9058000,4/14/13,498
USGS,9058000,4/15/13,569
USGS,9058000,4/16/13,524
USGS,9058000,4/17/13,372
USGS,9058000,4/18/13,351
USGS,9058000,4/19/13,306
USGS,9058000,4/20/13,323
USGS,9058000,4/21/13,329
USGS,9058000,4/22/13,425
USGS,9058000,4/23/13,467
USGS,9058000,4/24/13,400
USGS,9058000,4/25/13,334
USGS,9058000,4/26/13,333
USGS,9058000,4/27/13,376
USGS,9058000,4/28/13,434
USGS,9058000,4/29/13,476
