ID,Citation,Site_Name,Drainage area (km^2),tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
225,"Collins and Leventhal, 2013",Cacade Creek (Fairfax),,0.0441,0.02,0.067,7.59,0.24,2.45
226,"Collins and Leventhal, 2013",Carriger Creek lower fan,,0.1108,0.016,0.04,10.09,0.46,7.87
227,"Collins and Leventhal, 2013",Carriger Creek Upstream of Grove,,0.2428,0.08,0.14,5.7,0.7,6.11
228,"Collins and Leventhal, 2013",Carriger upper fan,,0.1052,0.0348,0.11,8.35,0.55,8.18
229,"Collins and Leventhal, 2013",Cascade Trib,,0.1821,0.0471,0.043,2.59,0.27,0.85
230,"Collins and Leventhal, 2013",Cheda Creek 1,,0.1685,0.0141,0.017,4.3,0.34,2.3
231,"Collins and Leventhal, 2013",Cheda Creek 2,,0.0754,0.0141,0.038,5.18,0.34,2.33
232,"Collins and Leventhal, 2013",China Camp Creek 1,,0.1327,0.0546,0.038,1.01,0.15,0.16
233,"Collins and Leventhal, 2013",China Camp Creek 2,,0.1327,0.0546,0.038,1.28,0.15,0.16
234,"Collins and Leventhal, 2013",China Camp Miwok Meadow,,0.0628,0.0136,0.012,0.52,0.09,0.0255
235,"Collins and Leventhal, 2013",CORTE MADERA C A ROSS CA,,0.1291,0.0037,0.018,13.2,1.04,26.99
236,"Collins and Leventhal, 2013",Corte Madera Creek at Ross,,0.0987,0.0037,0.027,12.83,1.19,31.25
237,"Collins and Leventhal, 2013",Crane Creek at Regional Park,,0.1585,0.0236,0.044,6.07,0.49,5.95
238,"Collins and Leventhal, 2013",Deer Creeak Middle,,0.2718,0.032,0.0087,1.22,0.12,0.17
239,"Collins and Leventhal, 2013",Deer Creek Lower,,0.2365,0.0352,0.011,1.65,0.12,0.24
240,"Collins and Leventhal, 2013",Deer Creek Upper,,0.0955,0.0112,0.013,1.31,0.18,0.23
241,"Collins and Leventhal, 2013",East Fork Olema Creek,,0.0976,0.0117,0.031,5.36,0.43,3.67
242,"Collins and Leventhal, 2013",Emu Trib of San Antonio Creek,,0.0594,0.0099,0.04,5.33,0.4,2.97
243,"Collins and Leventhal, 2013",Giacomini Trib,,0.047,0.0302,0.083,3.72,0.21,0.61
244,"Collins and Leventhal, 2013",Graham Creek,,0.1287,0.046,0.066,6.07,0.3,3.77
245,"Collins and Leventhal, 2013",Halleck Creek,,0.1138,0.0109,0.023,6.71,0.4,9.91
246,"Collins and Leventhal, 2013",Larkspur Creek,,0.0324,0.0114,0.039,2.47,0.18,0.3
247,"Collins and Leventhal, 2013",Miller Creek,,0.0992,0.0047,0.014,8.96,0.49,6.63
248,"Collins and Leventhal, 2013",Miller Lucas Site,,0.0931,0.0142,0.031,5.36,0.34,2.46
249,"Collins and Leventhal, 2013",Miller North Fork,,0.0899,0.0211,0.039,3.78,0.27,1.17
250,"Collins and Leventhal, 2013",Olema Creek John West Fork,,0.1261,0.0097,0.027,7.41,0.58,7.81
251,"Collins and Leventhal, 2013",San Antonio Creek near Hwy 101 1,,0.1838,0.0022,0.0084,13.23,1.16,29.94
252,"Collins and Leventhal, 2013",San Antonio Creek near Hwy 101 2,,0.0965,0.0022,0.016,14.33,1.16,29.53
253,"Collins and Leventhal, 2013",Sausal Creek 1,,0.0785,0.0067,0.041,11.37,0.79,17.34
254,"Collins and Leventhal, 2013",Sausal Creek 2,,0.1345,0.0067,0.023,12.28,0.76,17.7
255,"Collins and Leventhal, 2013",Sleepy Hollow Creek Mainstem,,0.0956,0.0244,0.033,2.93,0.21,0.95
256,"Collins and Leventhal, 2013",Sleepy Hollow Creek Tributary,,0.2596,0.0445,0.019,1.55,0.18,0.28
257,"Collins and Leventhal, 2013","Sleepy Hollow Creek, San Anselmo",,0.1197,0.0959,0.074,2.65,0.15,0.28
258,"Collins and Leventhal, 2013",Sonoma Creek Agua Caliente,,0.1368,0.006,0.044,17.98,1.66,88.89
259,"Collins and Leventhal, 2013",Sonoma Creek Apex,,0.1119,0.021,0.052,11.22,0.46,9.08
260,"Collins and Leventhal, 2013",Sonoma Creek Fan,,0.0514,0.006,0.041,10.3,0.58,7.85
261,"Collins and Leventhal, 2013",Sonoma Creek Lower Fan,,0.0526,0.0075,0.05,11.25,0.58,8.88
262,"Collins and Leventhal, 2013",Sonoma Sugerloaf 1,,0.1079,0.0114,0.032,9.45,0.5,5.89
263,"Collins and Leventhal, 2013",Sonoma Sugerloaf 2,,0.1006,0.0125,0.042,7.92,0.56,4.5
264,"Collins and Leventhal, 2013",Sonoma Sugerloaf 3,,0.1051,0.009,0.025,7.32,0.48,4.02
265,"Collins and Leventhal, 2013",Steep Ravine Creek,,0.1109,0.0546,0.1,3.2,0.34,1.15
266,"Collins and Leventhal, 2013",Tributary into Lagunitas Creek,,0.0644,0.034,0.039,3.14,0.12,0.37
267,"Devauchelle et al., 2011",Tributary to Apalachicola 1,,0.5163,0.01,0.00045,1.2,0.04,0.0107
268,"Devauchelle et al., 2011",Tributary to Apalachicola 10,,0.202,0.01,0.00045,0.17,0.02,0.00036
269,"Devauchelle et al., 2011",Tributary to Apalachicola 100,,0.202,0.01,0.00045,0.15,0.02,0.00044
270,"Devauchelle et al., 2011",Tributary to Apalachicola 101,,0.202,0.01,0.00045,0.15,0.02,0.00043
271,"Devauchelle et al., 2011",Tributary to Apalachicola 102,,0.202,0.01,0.00045,0.15,0.02,0.00045
272,"Devauchelle et al., 2011",Tributary to Apalachicola 103,,0.6061,0.01,0.00045,0.25,0.05,0.00352
273,"Devauchelle et al., 2011",Tributary to Apalachicola 104,,0.6061,0.01,0.00045,0.25,0.05,0.00335
274,"Devauchelle et al., 2011",Tributary to Apalachicola 105,,0.6061,0.01,0.00045,0.25,0.05,0.00402
275,"Devauchelle et al., 2011",Tributary to Apalachicola 106,,0.6061,0.01,0.00045,0.25,0.05,0.00313
276,"Devauchelle et al., 2011",Tributary to Apalachicola 107,,0.6061,0.01,0.00045,0.25,0.05,0.00361
277,"Devauchelle et al., 2011",Tributary to Apalachicola 108,,0.404,0.01,0.00045,0.5,0.03,0.00363
278,"Devauchelle et al., 2011",Tributary to Apalachicola 109,,0.404,0.01,0.00045,0.5,0.03,0.00308
279,"Devauchelle et al., 2011",Tributary to Apalachicola 11,,0.202,0.01,0.00045,0.17,0.02,0.00026
280,"Devauchelle et al., 2011",Tributary to Apalachicola 110,,0.404,0.01,0.00045,0.5,0.03,0.00346
281,"Devauchelle et al., 2011",Tributary to Apalachicola 111,,0.404,0.01,0.00045,0.5,0.03,0.00363
282,"Devauchelle et al., 2011",Tributary to Apalachicola 112,,0.404,0.01,0.00045,0.5,0.03,0.00363
283,"Devauchelle et al., 2011",Tributary to Apalachicola 113,,0.404,0.01,0.00045,0.5,0.03,0.00363
284,"Devauchelle et al., 2011",Tributary to Apalachicola 114,,0.5387,0.01,0.00045,0.3,0.04,0.00363
285,"Devauchelle et al., 2011",Tributary to Apalachicola 115,,0.5387,0.01,0.00045,0.3,0.04,0.0046
286,"Devauchelle et al., 2011",Tributary to Apalachicola 116,,0.5387,0.01,0.00045,0.3,0.04,0.00394
287,"Devauchelle et al., 2011",Tributary to Apalachicola 117,,0.5387,0.01,0.00045,0.3,0.04,0.0046
288,"Devauchelle et al., 2011",Tributary to Apalachicola 118,,0.5387,0.01,0.00045,0.3,0.04,0.00363
289,"Devauchelle et al., 2011",Tributary to Apalachicola 119,,0.5387,0.01,0.00045,0.3,0.04,0.003
290,"Devauchelle et al., 2011",Tributary to Apalachicola 12,,0.202,0.01,0.00045,0.17,0.02,0.00031
291,"Devauchelle et al., 2011",Tributary to Apalachicola 120,,0.5387,0.01,0.00045,0.3,0.04,0.00288
292,"Devauchelle et al., 2011",Tributary to Apalachicola 121,,0.5387,0.01,0.00045,0.3,0.04,0.00329
293,"Devauchelle et al., 2011",Tributary to Apalachicola 122,,0.101,0.01,0.00045,0.3,0.01,0.00053
294,"Devauchelle et al., 2011",Tributary to Apalachicola 123,,0.101,0.01,0.00045,0.3,0.01,0.00065
295,"Devauchelle et al., 2011",Tributary to Apalachicola 124,,0.101,0.01,0.00045,0.3,0.01,0.00058
296,"Devauchelle et al., 2011",Tributary to Apalachicola 125,,0.101,0.01,0.00045,0.3,0.01,0.0006
297,"Devauchelle et al., 2011",Tributary to Apalachicola 126,,0.101,0.01,0.00045,0.3,0.01,0.00057
298,"Devauchelle et al., 2011",Tributary to Apalachicola 127,,0.101,0.01,0.00045,0.3,0.01,0.00054
299,"Devauchelle et al., 2011",Tributary to Apalachicola 128,,0.3367,0.01,0.00045,0.3,0.03,0.00309
300,"Devauchelle et al., 2011",Tributary to Apalachicola 129,,0.3367,0.01,0.00045,0.3,0.03,0.00292
301,"Devauchelle et al., 2011",Tributary to Apalachicola 13,,0.6061,0.01,0.00045,1,0.05,0.015
302,"Devauchelle et al., 2011",Tributary to Apalachicola 130,,0.3367,0.01,0.00045,0.3,0.03,0.00273
303,"Devauchelle et al., 2011",Tributary to Apalachicola 131,,0.3367,0.01,0.00045,0.3,0.03,0.00252
304,"Devauchelle et al., 2011",Tributary to Apalachicola 132,,0.3367,0.01,0.00045,0.3,0.03,0.00285
305,"Devauchelle et al., 2011",Tributary to Apalachicola 133,,0.3367,0.01,0.00045,0.3,0.03,0.00279
306,"Devauchelle et al., 2011",Tributary to Apalachicola 134,,0.404,0.01,0.00045,0.45,0.03,0.00297
307,"Devauchelle et al., 2011",Tributary to Apalachicola 135,,0.404,0.01,0.00045,0.45,0.03,0.00288
308,"Devauchelle et al., 2011",Tributary to Apalachicola 136,,0.404,0.01,0.00045,0.45,0.03,0.00325
309,"Devauchelle et al., 2011",Tributary to Apalachicola 137,,0.404,0.01,0.00045,0.45,0.03,0.00331
310,"Devauchelle et al., 2011",Tributary to Apalachicola 138,,0.404,0.01,0.00045,0.45,0.03,0.00274
311,"Devauchelle et al., 2011",Tributary to Apalachicola 139,,0.404,0.01,0.00045,0.45,0.03,0.00344
312,"Devauchelle et al., 2011",Tributary to Apalachicola 14,,0.6061,0.01,0.00045,1,0.05,0.0171
313,"Devauchelle et al., 2011",Tributary to Apalachicola 140,,0.404,0.01,0.00045,0.45,0.03,0.00308
314,"Devauchelle et al., 2011",Tributary to Apalachicola 141,,0.1347,0.01,0.00045,0.17,0.01,0.00083
315,"Devauchelle et al., 2011",Tributary to Apalachicola 142,,0.1347,0.01,0.00045,0.17,0.01,0.00061
316,"Devauchelle et al., 2011",Tributary to Apalachicola 143,,0.1347,0.01,0.00045,0.17,0.01,0.00077
317,"Devauchelle et al., 2011",Tributary to Apalachicola 144,,0.1347,0.01,0.00045,0.17,0.01,0.00067
318,"Devauchelle et al., 2011",Tributary to Apalachicola 145,,0.1347,0.01,0.00045,0.17,0.01,0.00065
319,"Devauchelle et al., 2011",Tributary to Apalachicola 146,,0.1347,0.01,0.00045,0.17,0.01,0.00072
320,"Devauchelle et al., 2011",Tributary to Apalachicola 147,,0.1347,0.01,0.00045,0.17,0.01,0.00067
321,"Devauchelle et al., 2011",Tributary to Apalachicola 148,,0.202,0.01,0.00045,0.4,0.02,0.00152
322,"Devauchelle et al., 2011",Tributary to Apalachicola 149,,0.202,0.01,0.00045,0.4,0.02,0.00147
323,"Devauchelle et al., 2011",Tributary to Apalachicola 15,,0.6061,0.01,0.00045,1,0.05,0.0129
324,"Devauchelle et al., 2011",Tributary to Apalachicola 150,,0.202,0.01,0.00045,0.4,0.02,0.00126
325,"Devauchelle et al., 2011",Tributary to Apalachicola 151,,0.202,0.01,0.00045,0.4,0.02,0.00123
326,"Devauchelle et al., 2011",Tributary to Apalachicola 152,,0.202,0.01,0.00045,0.4,0.02,0.00143
327,"Devauchelle et al., 2011",Tributary to Apalachicola 153,,0.202,0.01,0.00045,0.4,0.02,0.00132
328,"Devauchelle et al., 2011",Tributary to Apalachicola 154,,0.202,0.01,0.00045,0.2,0.02,0.00104
329,"Devauchelle et al., 2011",Tributary to Apalachicola 155,,0.202,0.01,0.00045,0.2,0.02,0.00104
330,"Devauchelle et al., 2011",Tributary to Apalachicola 156,,0.202,0.01,0.00045,0.2,0.02,0.00114
331,"Devauchelle et al., 2011",Tributary to Apalachicola 157,,0.202,0.01,0.00045,0.2,0.02,0.0011
332,"Devauchelle et al., 2011",Tributary to Apalachicola 158,,0.1347,0.01,0.00045,0.13,0.01,0.00064
333,"Devauchelle et al., 2011",Tributary to Apalachicola 159,,0.1347,0.01,0.00045,0.13,0.01,0.00077
334,"Devauchelle et al., 2011",Tributary to Apalachicola 16,,0.6061,0.01,0.00045,1,0.05,0.015
335,"Devauchelle et al., 2011",Tributary to Apalachicola 160,,0.1347,0.01,0.00045,0.13,0.01,0.00067
336,"Devauchelle et al., 2011",Tributary to Apalachicola 161,,0.1347,0.01,0.00045,0.13,0.01,0.0007
337,"Devauchelle et al., 2011",Tributary to Apalachicola 162,,0.1347,0.01,0.00045,0.13,0.01,0.00064
338,"Devauchelle et al., 2011",Tributary to Apalachicola 163,,0.1347,0.01,0.00045,0.13,0.01,0.00067
339,"Devauchelle et al., 2011",Tributary to Apalachicola 164,,0.1347,0.01,0.00045,0.2,0.01,0.00075
340,"Devauchelle et al., 2011",Tributary to Apalachicola 165,,0.1347,0.01,0.00045,0.2,0.01,0.00075
341,"Devauchelle et al., 2011",Tributary to Apalachicola 166,,0.1347,0.01,0.00045,0.2,0.01,0.00073
342,"Devauchelle et al., 2011",Tributary to Apalachicola 167,,0.1347,0.01,0.00045,0.2,0.01,0.00073
343,"Devauchelle et al., 2011",Tributary to Apalachicola 168,,0.1347,0.01,0.00045,0.2,0.01,0.00073
344,"Devauchelle et al., 2011",Tributary to Apalachicola 169,,0.1347,0.01,0.00045,0.2,0.01,0.00075
345,"Devauchelle et al., 2011",Tributary to Apalachicola 17,,0.6061,0.01,0.00045,1,0.05,0.015
346,"Devauchelle et al., 2011",Tributary to Apalachicola 170,,0.202,0.01,0.00045,0.25,0.02,0.00091
347,"Devauchelle et al., 2011",Tributary to Apalachicola 171,,0.202,0.01,0.00045,0.25,0.02,0.00097
348,"Devauchelle et al., 2011",Tributary to Apalachicola 172,,0.202,0.01,0.00045,0.25,0.02,0.00091
349,"Devauchelle et al., 2011",Tributary to Apalachicola 173,,0.202,0.01,0.00045,0.25,0.02,0.00097
350,"Devauchelle et al., 2011",Tributary to Apalachicola 174,,0.202,0.01,0.00045,0.25,0.02,0.00105
351,"Devauchelle et al., 2011",Tributary to Apalachicola 175,,0.0673,0.01,0.00045,0.1,0.01,0.00021
352,"Devauchelle et al., 2011",Tributary to Apalachicola 176,,0.0673,0.01,0.00045,0.1,0.01,0.0002
353,"Devauchelle et al., 2011",Tributary to Apalachicola 177,,0.0673,0.01,0.00045,0.1,0.01,0.00021
354,"Devauchelle et al., 2011",Tributary to Apalachicola 178,,0.0673,0.01,0.00045,0.1,0.01,0.0002
355,"Devauchelle et al., 2011",Tributary to Apalachicola 179,,0.8552,0.01,0.00045,1.12,0.06,0.0249
356,"Devauchelle et al., 2011",Tributary to Apalachicola 18,,0.202,0.01,0.00045,0.35,0.02,0.00189
357,"Devauchelle et al., 2011",Tributary to Apalachicola 180,,0.8552,0.01,0.00045,1.12,0.06,0.0285
358,"Devauchelle et al., 2011",Tributary to Apalachicola 181,,0.8552,0.01,0.00045,1.12,0.06,0.0269
359,"Devauchelle et al., 2011",Tributary to Apalachicola 182,,0.8552,0.01,0.00045,1.83,0.06,0.0328
360,"Devauchelle et al., 2011",Tributary to Apalachicola 183,,0.8552,0.01,0.00045,1.83,0.06,0.0306
361,"Devauchelle et al., 2011",Tributary to Apalachicola 184,,0.8552,0.01,0.00045,1.83,0.06,0.0306
362,"Devauchelle et al., 2011",Tributary to Apalachicola 185,,0.6842,0.01,0.00045,1.02,0.05,0.0112
363,"Devauchelle et al., 2011",Tributary to Apalachicola 186,,0.6842,0.01,0.00045,1.02,0.05,0.0088
364,"Devauchelle et al., 2011",Tributary to Apalachicola 187,,0.6842,0.01,0.00045,1.02,0.05,0.0103
365,"Devauchelle et al., 2011",Tributary to Apalachicola 188,,0.6842,0.01,0.00045,1.02,0.05,0.0111
366,"Devauchelle et al., 2011",Tributary to Apalachicola 189,,0.3421,0.01,0.00045,0.43,0.03,0.00324
367,"Devauchelle et al., 2011",Tributary to Apalachicola 19,,0.202,0.01,0.00045,0.35,0.02,0.00189
368,"Devauchelle et al., 2011",Tributary to Apalachicola 190,,0.3421,0.01,0.00045,0.43,0.03,0.00341
369,"Devauchelle et al., 2011",Tributary to Apalachicola 191,,0.3421,0.01,0.00045,0.43,0.03,0.00284
370,"Devauchelle et al., 2011",Tributary to Apalachicola 192,,1.3684,0.01,0.00045,1.04,0.1,0.0311
371,"Devauchelle et al., 2011",Tributary to Apalachicola 193,,1.3684,0.01,0.00045,1.04,0.1,0.0343
372,"Devauchelle et al., 2011",Tributary to Apalachicola 194,,1.3684,0.01,0.00045,1.04,0.1,0.0286
373,"Devauchelle et al., 2011",Tributary to Apalachicola 195,,1.1973,0.01,0.00045,1.49,0.09,0.0521
374,"Devauchelle et al., 2011",Tributary to Apalachicola 196,,1.1973,0.01,0.00045,1.49,0.09,0.0491
375,"Devauchelle et al., 2011",Tributary to Apalachicola 197,,1.1973,0.01,0.00045,1.49,0.09,0.0391
376,"Devauchelle et al., 2011",Tributary to Apalachicola 198,,1.1973,0.01,0.00045,1.49,0.09,0.0429
377,"Devauchelle et al., 2011",Tributary to Apalachicola 199,,2.2236,0.01,0.00045,2.39,0.17,0.19
378,"Devauchelle et al., 2011",Tributary to Apalachicola 2,,0.5163,0.01,0.00045,1.2,0.04,0.0117
379,"Devauchelle et al., 2011",Tributary to Apalachicola 20,,0.202,0.01,0.00045,0.35,0.02,0.00216
380,"Devauchelle et al., 2011",Tributary to Apalachicola 200,,2.2236,0.01,0.00045,2.39,0.17,0.18
381,"Devauchelle et al., 2011",Tributary to Apalachicola 201,,2.2236,0.01,0.00045,2.39,0.17,0.18
382,"Devauchelle et al., 2011",Tributary to Apalachicola 202,,2.5657,0.01,0.00045,1.68,0.19,0.13
383,"Devauchelle et al., 2011",Tributary to Apalachicola 203,,2.5657,0.01,0.00045,1.68,0.19,0.14
384,"Devauchelle et al., 2011",Tributary to Apalachicola 204,,2.0525,0.01,0.00045,2.29,0.15,0.16
385,"Devauchelle et al., 2011",Tributary to Apalachicola 205,,2.0525,0.01,0.00045,2.29,0.15,0.16
386,"Devauchelle et al., 2011",Tributary to Apalachicola 206,,2.0525,0.01,0.00045,2.29,0.15,0.15
387,"Devauchelle et al., 2011",Tributary to Apalachicola 207,,1.3684,0.01,0.00045,2.54,0.1,0.0797
388,"Devauchelle et al., 2011",Tributary to Apalachicola 208,,1.3684,0.01,0.00045,2.54,0.1,0.11
389,"Devauchelle et al., 2011",Tributary to Apalachicola 209,,1.3684,0.01,0.00045,2.54,0.1,0.0948
390,"Devauchelle et al., 2011",Tributary to Apalachicola 21,,0.202,0.01,0.00045,0.35,0.02,0.00204
391,"Devauchelle et al., 2011",Tributary to Apalachicola 210,,1.3684,0.01,0.00045,2.54,0.1,0.11
392,"Devauchelle et al., 2011",Tributary to Apalachicola 211,,2.2236,0.01,0.00045,2.54,0.17,0.13
393,"Devauchelle et al., 2011",Tributary to Apalachicola 212,,2.2236,0.01,0.00045,2.54,0.17,0.13
394,"Devauchelle et al., 2011",Tributary to Apalachicola 213,,2.2236,0.01,0.00045,2.54,0.17,0.11
395,"Devauchelle et al., 2011",Tributary to Apalachicola 214,,2.0525,0.01,0.00045,2.54,0.15,0.13
396,"Devauchelle et al., 2011",Tributary to Apalachicola 215,,2.0525,0.01,0.00045,2.54,0.15,0.13
397,"Devauchelle et al., 2011",Tributary to Apalachicola 216,,2.0525,0.01,0.00045,2.54,0.15,0.17
398,"Devauchelle et al., 2011",Tributary to Apalachicola 217,,2.0525,0.01,0.00045,2.54,0.15,0.14
399,"Devauchelle et al., 2011",Tributary to Apalachicola 218,,2.0525,0.01,0.00045,2.16,0.15,0.14
400,"Devauchelle et al., 2011",Tributary to Apalachicola 219,,2.0525,0.01,0.00045,2.16,0.15,0.15
401,"Devauchelle et al., 2011",Tributary to Apalachicola 22,,0.2357,0.01,0.00045,0.35,0.02,0.00206
402,"Devauchelle et al., 2011",Tributary to Apalachicola 220,,2.0525,0.01,0.00045,2.16,0.15,0.11
403,"Devauchelle et al., 2011",Tributary to Apalachicola 221,,2.0525,0.01,0.00045,2.16,0.15,0.14
404,"Devauchelle et al., 2011",Tributary to Apalachicola 222,,1.0263,0.01,0.00045,0.89,0.08,0.0246
405,"Devauchelle et al., 2011",Tributary to Apalachicola 223,,1.0263,0.01,0.00045,0.89,0.08,0.0241
406,"Devauchelle et al., 2011",Tributary to Apalachicola 224,,1.0263,0.01,0.00045,0.89,0.08,0.0241
407,"Devauchelle et al., 2011",Tributary to Apalachicola 225,,1.7104,0.01,0.00045,1.4,0.13,0.0644
408,"Devauchelle et al., 2011",Tributary to Apalachicola 226,,1.7104,0.01,0.00045,1.4,0.13,0.0777
409,"Devauchelle et al., 2011",Tributary to Apalachicola 227,,1.7104,0.01,0.00045,1.4,0.13,0.0727
410,"Devauchelle et al., 2011",Tributary to Apalachicola 228,,1.8815,0.01,0.00045,2.41,0.14,0.13
411,"Devauchelle et al., 2011",Tributary to Apalachicola 229,,1.8815,0.01,0.00045,2.41,0.14,0.13
412,"Devauchelle et al., 2011",Tributary to Apalachicola 23,,0.2357,0.01,0.00045,0.35,0.02,0.0021
413,"Devauchelle et al., 2011",Tributary to Apalachicola 230,,1.8815,0.01,0.00045,2.41,0.14,0.1
414,"Devauchelle et al., 2011",Tributary to Apalachicola 231,,1.8815,0.01,0.00045,2.41,0.14,0.11
415,"Devauchelle et al., 2011",Tributary to Apalachicola 232,,0.8552,0.01,0.00045,0.81,0.06,0.0179
416,"Devauchelle et al., 2011",Tributary to Apalachicola 233,,0.8552,0.01,0.00045,0.81,0.06,0.0191
417,"Devauchelle et al., 2011",Tributary to Apalachicola 234,,0.8552,0.01,0.00045,0.81,0.06,0.0181
418,"Devauchelle et al., 2011",Tributary to Apalachicola 235,,1.3684,0.01,0.00045,1.52,0.1,0.0508
419,"Devauchelle et al., 2011",Tributary to Apalachicola 236,,1.3684,0.01,0.00045,1.52,0.1,0.0432
420,"Devauchelle et al., 2011",Tributary to Apalachicola 237,,1.3684,0.01,0.00045,1.52,0.1,0.0488
421,"Devauchelle et al., 2011",Tributary to Apalachicola 238,,1.3684,0.01,0.00045,1.52,0.1,0.0445
422,"Devauchelle et al., 2011",Tributary to Apalachicola 239,,0.4447,0.01,0.00045,0.69,0.03,0.0097
423,"Devauchelle et al., 2011",Tributary to Apalachicola 24,,0.2357,0.01,0.00045,0.35,0.02,0.0021
424,"Devauchelle et al., 2011",Tributary to Apalachicola 240,,0.4447,0.01,0.00045,0.69,0.03,0.0119
425,"Devauchelle et al., 2011",Tributary to Apalachicola 241,,0.4447,0.01,0.00045,0.69,0.03,0.0104
426,"Devauchelle et al., 2011",Tributary to Apalachicola 242,,0.4447,0.01,0.00045,0.69,0.03,0.0094
427,"Devauchelle et al., 2011",Tributary to Apalachicola 243,,0.4447,0.01,0.00045,0.69,0.03,0.01
428,"Devauchelle et al., 2011",Tributary to Apalachicola 244,,1.0263,0.01,0.00045,1.78,0.08,0.0824
429,"Devauchelle et al., 2011",Tributary to Apalachicola 245,,1.0263,0.01,0.00045,1.78,0.08,0.0813
430,"Devauchelle et al., 2011",Tributary to Apalachicola 246,,1.0263,0.01,0.00045,1.78,0.08,0.0813
431,"Devauchelle et al., 2011",Tributary to Apalachicola 247,,0.8552,0.01,0.00045,0.89,0.06,0.0267
432,"Devauchelle et al., 2011",Tributary to Apalachicola 248,,0.8552,0.01,0.00045,0.89,0.06,0.0225
433,"Devauchelle et al., 2011",Tributary to Apalachicola 249,,0.8552,0.01,0.00045,0.89,0.06,0.0255
434,"Devauchelle et al., 2011",Tributary to Apalachicola 25,,0.2357,0.01,0.00045,0.35,0.02,0.00174
435,"Devauchelle et al., 2011",Tributary to Apalachicola 250,,1.1973,0.01,0.00045,0.84,0.09,0.028
436,"Devauchelle et al., 2011",Tributary to Apalachicola 251,,1.1973,0.01,0.00045,0.84,0.09,0.0332
437,"Devauchelle et al., 2011",Tributary to Apalachicola 252,,1.1973,0.01,0.00045,0.84,0.09,0.0326
438,"Devauchelle et al., 2011",Tributary to Apalachicola 253,,1.1973,0.01,0.00045,0.84,0.09,0.03
439,"Devauchelle et al., 2011",Tributary to Apalachicola 254,,0.5131,0.01,0.00045,0.51,0.04,0.006
440,"Devauchelle et al., 2011",Tributary to Apalachicola 255,,0.5131,0.01,0.00045,0.51,0.04,0.0077
441,"Devauchelle et al., 2011",Tributary to Apalachicola 256,,0.5131,0.01,0.00045,0.51,0.04,0.0072
442,"Devauchelle et al., 2011",Tributary to Apalachicola 257,,1.1973,0.01,0.00045,1.19,0.09,0.0481
443,"Devauchelle et al., 2011",Tributary to Apalachicola 258,,1.1973,0.01,0.00045,1.19,0.09,0.0599
444,"Devauchelle et al., 2011",Tributary to Apalachicola 259,,1.1973,0.01,0.00045,1.19,0.09,0.0509
445,"Devauchelle et al., 2011",Tributary to Apalachicola 26,,0.2357,0.01,0.00045,0.35,0.02,0.00195
446,"Devauchelle et al., 2011",Tributary to Apalachicola 260,,1.1973,0.01,0.00045,1.19,0.09,0.0509
447,"Devauchelle et al., 2011",Tributary to Apalachicola 261,,1.3684,0.01,0.00045,1.42,0.1,0.0464
448,"Devauchelle et al., 2011",Tributary to Apalachicola 262,,1.3684,0.01,0.00045,1.42,0.1,0.044
449,"Devauchelle et al., 2011",Tributary to Apalachicola 263,,1.3684,0.01,0.00045,1.42,0.1,0.0436
450,"Devauchelle et al., 2011",Tributary to Apalachicola 264,,1.0263,0.01,0.00045,1.65,0.08,0.0528
451,"Devauchelle et al., 2011",Tributary to Apalachicola 265,,1.0263,0.01,0.00045,1.65,0.08,0.0528
452,"Devauchelle et al., 2011",Tributary to Apalachicola 266,,1.0263,0.01,0.00045,1.65,0.08,0.0498
453,"Devauchelle et al., 2011",Tributary to Apalachicola 267,,1.3684,0.01,0.00045,1.32,0.1,0.0501
454,"Devauchelle et al., 2011",Tributary to Apalachicola 268,,1.3684,0.01,0.00045,1.32,0.1,0.0513
455,"Devauchelle et al., 2011",Tributary to Apalachicola 269,,1.3684,0.01,0.00045,1.32,0.1,0.0561
456,"Devauchelle et al., 2011",Tributary to Apalachicola 27,,0.2357,0.01,0.00045,0.35,0.02,0.00192
457,"Devauchelle et al., 2011",Tributary to Apalachicola 270,,0.6842,0.01,0.00045,0.56,0.05,0.008
458,"Devauchelle et al., 2011",Tributary to Apalachicola 271,,0.6842,0.01,0.00045,0.56,0.05,0.0081
459,"Devauchelle et al., 2011",Tributary to Apalachicola 272,,0.6842,0.01,0.00045,0.56,0.05,0.0083
460,"Devauchelle et al., 2011",Tributary to Apalachicola 273,,0.2737,0.01,0.00045,0.56,0.02,0.00275
461,"Devauchelle et al., 2011",Tributary to Apalachicola 274,,0.2737,0.01,0.00045,0.56,0.02,0.00293
462,"Devauchelle et al., 2011",Tributary to Apalachicola 275,,0.2737,0.01,0.00045,0.56,0.02,0.00315
463,"Devauchelle et al., 2011",Tributary to Apalachicola 276,,0.2737,0.01,0.00045,0.56,0.02,0.00219
464,"Devauchelle et al., 2011",Tributary to Apalachicola 277,,0.2737,0.01,0.00045,0.3,0.02,0.00228
465,"Devauchelle et al., 2011",Tributary to Apalachicola 278,,0.2737,0.01,0.00045,0.3,0.02,0.00206
466,"Devauchelle et al., 2011",Tributary to Apalachicola 279,,0.2737,0.01,0.00045,0.3,0.02,0.00194
467,"Devauchelle et al., 2011",Tributary to Apalachicola 28,,0.202,0.01,0.00045,0.35,0.02,0.00168
